Item,Item Description,Planner,Order Type,Order#,Ln#,Ordered Date,Line Creation Date,Line Update Date,Request Date,Schedule Date,Promise Date,Open Qty,Price,Extended Price,Item Cost ,Material Cost,Material OH Cost,Resource Cost,Overhead Cost,OSP Cost,Customer Name,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Date,Qty,Customer,PC,Org,Type
YT327909-911,LFR AXB108 73.75 - 72.63 1PK CRATE AMTRAK GE,3,YTS-DOMESTIC,562472.0,1.0,22-OCT-20,22-OCT-20,07-DEC-20,07-DEC-20,10-FEB-21,10-FEB-21,1.0,"9,831.00","9,831.00","8,864.27","5,609.45",,681.43,"2,573.39",,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,,,,,,
YT327909-911,LFR AXB108 73.75 - 72.63 1PK CRATE AMTRAK GE,3,YTS-DOMESTIC,562902.0,1.0,14-DEC-20,14-DEC-20,15-DEC-20,16-DEC-20,04-MAR-21,04-MAR-21,1.0,"9,831.00","9,831.00","8,864.27","5,609.45",,681.43,"2,573.39",,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,,,,,,
YT327909-911,LFR AXB108 73.75 - 72.63 1PK CRATE AMTRAK GE,3,YTS-DOMESTIC,562815.0,1.0,02-DEC-20,02-DEC-20,14-DEC-20,16-DEC-20,05-MAR-21,05-MAR-21,1.0,"9,831.00","9,831.00","8,864.27","5,609.45",,681.43,"2,573.39",,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,,,,,,
YT327909-911,LFR AXB108 73.75 - 72.63 1PK CRATE AMTRAK GE,3,YTS-DOMESTIC,562814.0,1.0,02-DEC-20,02-DEC-20,14-DEC-20,10-MAR-21,05-MAR-21,05-MAR-21,1.0,"9,831.00","9,831.00","8,864.27","5,609.45",,681.43,"2,573.39",,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,,,,,,
YT327909-911,LFR AXB108 73.75 - 72.63 1PK CRATE AMTRAK GE,3,YTS-DOMESTIC,562509.0,1.0,27-OCT-20,27-OCT-20,29-OCT-20,10-MAR-21,05-MAR-21,05-MAR-21,1.0,"9,831.00","9,831.00","8,864.27","5,609.45",,681.43,"2,573.39",,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,,,,,,
YT327909-911,LFR AXB108 73.75 - 72.63 1PK CRATE AMTRAK GE,3,YTS-DOMESTIC,562900.0,1.0,14-DEC-20,14-DEC-20,15-DEC-20,09-APR-21,06-APR-21,06-APR-21,1.0,"9,831.00","9,831.00","8,864.27","5,609.45",,681.43,"2,573.39",,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,,,,,,,
YT339494-816,TANK CAST INLET MACH 10.50 33.75 - GMLG #9578266,SV,YTS-DOMESTIC,562508.0,1.0,27-OCT-20,27-OCT-20,12-NOV-20,18-DEC-20,18-DEC-20,18-DEC-20,6.0,579.37,"3,476.22",829.86,688.00,,27.32,114.53,0.0,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT348639,HOSE CONN - 15.50 LG,HO,YTS-INTERNATIONAL,562151.0,1.0,15-SEP-20,15-SEP-20,07-DEC-20,23-MAR-21,22-JAN-21,22-JAN-21,6.0,42.17,253.02,32.90,32.90,,,,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT348640-816,TUBE CONN ASY 112.27L,SV,YTS-INTERNATIONAL,562747.0,1.0,23-NOV-20,23-NOV-20,08-DEC-20,21-JUN-21,16-APR-21,16-APR-21,3.0,41.77,125.31,32.59,22.40,,2.48,7.71,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT352400-808,LFR AXB108 BANK - RH 40082531 GMLG XP AUS,3,YTS-DOMESTIC,562401.0,1.0,15-OCT-20,15-OCT-20,19-OCT-20,28-JAN-21,22-JAN-21,22-JAN-21,2.0,"6,620.00","16,778.00","7,683.13","5,015.26",,552.91,"2,114.96",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT352401-808,LFR AXB108 BANK - LH 40082530 GMLG XP AUS,3,YTS-DOMESTIC,562296.0,1.0,01-OCT-20,01-OCT-20,06-OCT-20,28-JAN-21,22-JAN-21,22-JAN-21,2.0,"6,620.00","16,778.00","7,683.13","5,015.26",,552.91,"2,114.96",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363693-805,LFR AXB 104 AXB 116 RH STD PAL/PLY - FINAL ASSEMBLY 10665561,3,YTS-DOMESTIC,562101.0,1.0,09-SEP-20,09-SEP-20,01-OCT-20,28-JAN-21,22-JAN-21,22-JAN-21,1.0,"9,148.00","13,227.20","13,536.85","9,684.35",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363693-805,LFR AXB 104 AXB 116 RH STD PAL/PLY - FINAL ASSEMBLY 10665561,3,YTS-DOMESTIC,562102.0,1.0,09-SEP-20,09-SEP-20,01-OCT-20,28-JAN-21,22-JAN-21,22-JAN-21,1.0,"9,148.00","13,227.20","13,536.85","9,684.35",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363693-805,LFR AXB 104 AXB 116 RH STD PAL/PLY - FINAL ASSEMBLY 10665561,3,YTS-DOMESTIC,562099.0,1.0,09-SEP-20,09-SEP-20,01-OCT-20,28-JAN-21,22-JAN-21,22-JAN-21,1.0,"9,148.00","13,227.20","13,536.85","9,684.35",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363693-805,LFR AXB 104 AXB 116 RH STD PAL/PLY - FINAL ASSEMBLY 10665561,3,YTS-DOMESTIC,562098.0,1.0,09-SEP-20,09-SEP-20,01-OCT-20,28-JAN-21,22-JAN-21,22-JAN-21,1.0,"9,148.00","13,227.20","13,536.85","9,684.35",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363693-805,LFR AXB 104 AXB 116 RH STD PAL/PLY - FINAL ASSEMBLY 10665561,3,YTS-DOMESTIC,562103.0,1.0,09-SEP-20,09-SEP-20,01-OCT-20,28-JAN-21,22-JAN-21,22-JAN-21,1.0,"9,148.00","13,227.20","13,536.85","9,684.35",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363693-805,LFR AXB 104 AXB 116 RH STD PAL/PLY - FINAL ASSEMBLY 10665561,3,YTS-DOMESTIC,562100.0,1.0,09-SEP-20,09-SEP-20,01-OCT-20,28-JAN-21,22-JAN-21,22-JAN-21,1.0,"9,148.00","13,227.20","13,536.85","9,684.35",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363693-805,LFR AXB 104 AXB 116 RH STD PAL/PLY - FINAL ASSEMBLY 10665561,3,YTS-DOMESTIC,562355.0,1.0,08-OCT-20,08-OCT-20,13-OCT-20,25-FEB-21,19-FEB-21,19-FEB-21,1.0,"9,148.00","13,227.20","13,536.85","9,684.35",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363693-805,LFR AXB 104 AXB 116 RH STD PAL/PLY - FINAL ASSEMBLY 10665561,3,YTS-DOMESTIC,562623.0,1.0,09-NOV-20,09-NOV-20,10-NOV-20,30-MAR-21,26-MAR-21,26-MAR-21,2.0,"9,148.00","26,454.40","13,536.85","9,684.35",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363693-805,LFR AXB 104 AXB 116 RH STD PAL/PLY - FINAL ASSEMBLY 10665561,3,YTS-DOMESTIC,562645.0,1.0,11-NOV-20,11-NOV-20,12-NOV-20,30-MAR-21,26-MAR-21,26-MAR-21,2.0,"9,148.00","26,454.40","13,536.85","9,684.35",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363694-805,LFR AXB 104 AXB 116 LH STD PAL/PLY - FINAL ASSEMBLY 10665562,3,YTS-DOMESTIC,562209.0,1.0,23-SEP-20,23-SEP-20,01-OCT-20,28-JAN-21,22-JAN-21,22-JAN-21,2.0,"9,148.00","26,453.64","13,535.00","9,682.50",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363694-805,LFR AXB 104 AXB 116 LH STD PAL/PLY - FINAL ASSEMBLY 10665562,3,YTS-DOMESTIC,562210.0,1.0,23-SEP-20,23-SEP-20,01-OCT-20,28-JAN-21,22-JAN-21,22-JAN-21,2.0,"9,148.00","26,453.64","13,535.00","9,682.50",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363694-805,LFR AXB 104 AXB 116 LH STD PAL/PLY - FINAL ASSEMBLY 10665562,3,YTS-DOMESTIC,562211.0,1.0,23-SEP-20,23-SEP-20,01-OCT-20,28-JAN-21,22-JAN-21,22-JAN-21,2.0,"9,148.00","26,453.64","13,535.00","9,682.50",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363694-805,LFR AXB 104 AXB 116 LH STD PAL/PLY - FINAL ASSEMBLY 10665562,3,YTS-DOMESTIC,562212.0,1.0,23-SEP-20,23-SEP-20,01-OCT-20,28-JAN-21,22-JAN-21,22-JAN-21,2.0,"9,148.00","26,453.64","13,535.00","9,682.50",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363694-805,LFR AXB 104 AXB 116 LH STD PAL/PLY - FINAL ASSEMBLY 10665562,3,YTS-DOMESTIC,562208.0,1.0,23-SEP-20,23-SEP-20,01-OCT-20,28-JAN-21,22-JAN-21,22-JAN-21,2.0,"9,148.00","26,453.64","13,535.00","9,682.50",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363694-805,LFR AXB 104 AXB 116 LH STD PAL/PLY - FINAL ASSEMBLY 10665562,3,YTS-DOMESTIC,562462.0,1.0,21-OCT-20,21-OCT-20,22-OCT-20,25-FEB-21,19-FEB-21,19-FEB-21,1.0,"9,148.00","13,226.82","13,535.00","9,682.50",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363694-805,LFR AXB 104 AXB 116 LH STD PAL/PLY - FINAL ASSEMBLY 10665562,3,YTS-DOMESTIC,562735.0,1.0,20-NOV-20,20-NOV-20,24-NOV-20,30-MAR-21,26-MAR-21,26-MAR-21,1.0,"9,148.00","13,226.82","13,535.00","9,682.50",,805.13,"3,047.38",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363804-801,LFR AXB 118 BANK JW - 40102292 STD PAL CBD,3,YTS-DOMESTIC,562332.0,1.0,06-OCT-20,06-OCT-20,04-DEC-20,18-DEC-20,18-DEC-20,18-DEC-20,5.0,"13,250.00","66,250.00","9,094.28","6,195.71",,592.51,"2,306.06",,PROGRESS RAIL LOCOMOTIVE INC.,7900 W. TOWER AVE,"MILWAUKEE,WI 53223 - US",,,,,,,,
YT363805-801,LFR AXB 118 BANK AC - 40102293 STD PAL CBD,3,YTS-DOMESTIC,561991.0,1.0,26-AUG-20,26-AUG-20,06-NOV-20,22-DEC-20,18-DEC-20,18-DEC-20,1.0,"11,755.00","11,755.00","8,109.23","5,203.04",,596.46,"2,309.73",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363805-801,LFR AXB 118 BANK AC - 40102293 STD PAL CBD,3,YTS-DOMESTIC,562195.0,1.0,21-SEP-20,21-SEP-20,06-NOV-20,22-DEC-20,18-DEC-20,18-DEC-20,2.0,"11,755.00","23,510.00","8,109.23","5,203.04",,596.46,"2,309.73",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363805-801,LFR AXB 118 BANK AC - 40102293 STD PAL CBD,3,YTS-DOMESTIC,562331.0,1.0,06-OCT-20,06-OCT-20,19-OCT-20,18-DEC-20,18-DEC-20,18-DEC-20,5.0,"11,755.00","58,775.00","8,109.23","5,203.04",,596.46,"2,309.73",,PROGRESS RAIL LOCOMOTIVE INC.,7900 W. TOWER AVE,"MILWAUKEE,WI 53223 - US",,,,,,,,
YT363868C,TANK CAST CONN,CH,YTS-DOMESTIC,562451.0,1.0,20-OCT-20,20-OCT-20,14-DEC-20,18-DEC-20,15-DEC-20,15-DEC-20,1.0,740.00,740.00,479.08,479.08,,,,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT363869C,TANK CAST CONN,CH,YTS-DOMESTIC,562450.0,1.0,20-OCT-20,20-OCT-20,14-DEC-20,18-DEC-20,15-DEC-20,15-DEC-20,1.0,710.00,710.00,461.78,461.78,,,,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT403565,NABI RAD/CAC YTF 108 - FINAL ASSEMBLY,3,YTS-DOMESTIC,562159.0,2.0,16-SEP-20,16-SEP-20,17-SEP-20,25-JAN-21,15-JAN-21,15-JAN-21,1.0,"3,990.00","3,990.00","2,313.68","1,222.29",,223.72,857.56,10.11,THE AFTERMARKET PARTS COMPANY LLC,NEW FLYER OH1 PARTS DISTRIBUTION CENTER,3229 SAWMILL PARKWAY,"DELAWARE,OH 43015 - US",,,,,,,
YT404601-200,"3/8-16 GR8 FLANGED BOLT - 2.00"" LONG",FS2,YTS-INTERNATIONAL,561916.0,1.0,13-AUG-20,13-AUG-20,03-NOV-20,23-MAR-21,22-JAN-21,22-JAN-21,1200.0,0.85,"1,020.00",0.18,0.18,,,,,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT409501-AA-816,SIDEFRAME ASY 41.47 NABI,SV,YTS-DOMESTIC,562333.0,1.0,06-OCT-20,06-OCT-20,24-NOV-20,22-JAN-21,15-JAN-21,15-JAN-21,6.0,225.00,"1,350.00",104.13,18.62,,18.43,64.82,2.26,THE AFTERMARKET PARTS COMPANY LLC,NEW FLYER OH1 PARTS DISTRIBUTION CENTER,3229 SAWMILL PARKWAY,"DELAWARE,OH 43015 - US",,,,,,,
YT409501-AA-816,SIDEFRAME ASY 41.47 NABI,SV,YTS-DOMESTIC,562333.0,2.0,06-OCT-20,24-NOV-20,24-NOV-20,06-APR-21,26-MAR-21,26-MAR-21,20.0,225.00,"4,500.00",104.13,18.62,,18.43,64.82,2.26,THE AFTERMARKET PARTS COMPANY LLC,NEW FLYER OH1 PARTS DISTRIBUTION CENTER,3229 SAWMILL PARKWAY,"DELAWARE,OH 43015 - US",,,,,,,
YT413234-805,RAD ASY AXB 118 EMD P/N 40117394 STD PAL/PLY - FINAL ASSEMBLY,3,YTS-DOMESTIC,562774.0,1.0,30-NOV-20,30-NOV-20,02-DEC-20,01-MAR-21,26-FEB-21,26-FEB-21,1.0,"4,945.00","6,658.00","7,120.88","4,677.61",,482.37,"1,960.89",,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,561131.0,1.0,11-MAY-20,11-MAY-20,15-DEC-20,21-JAN-21,28-DEC-20,28-DEC-20,4.0,"5,543.33","22,173.32","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,559849.0,1.0,20-JAN-20,20-JAN-20,15-DEC-20,03-FEB-21,28-DEC-20,28-DEC-20,4.0,"5,543.33","22,173.32","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,561132.0,1.0,11-MAY-20,11-MAY-20,29-SEP-20,01-MAR-21,08-JAN-21,08-JAN-21,4.0,"5,543.33","22,173.32","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,561134.0,1.0,11-MAY-20,11-MAY-20,08-DEC-20,27-JAN-21,08-JAN-21,08-JAN-21,4.0,"5,543.33","22,173.32","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,559850.0,1.0,20-JAN-20,20-JAN-20,08-DEC-20,22-FEB-21,08-JAN-21,08-JAN-21,4.0,"5,543.33","22,173.32","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,559848.0,1.0,20-JAN-20,20-JAN-20,08-DEC-20,12-FEB-21,08-JAN-21,08-JAN-21,4.0,"5,543.33","22,173.32","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
YT418867-803,CORE YTF 104 YTF 105 KIT,3,YTS-INTERNATIONAL,559847.0,1.0,20-JAN-20,20-JAN-20,29-SEP-20,04-MAR-21,08-JAN-21,08-JAN-21,4.0,"5,543.33","22,173.32","4,520.02","3,003.21",,314.32,"1,202.50",,WABTEC BRASIL FABRICAÇÃO E MANUTENÇÃO,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",,,,,,,
